"location","species","bloom_date","year","bloom_doy","lat","long","alt"
"South Korea/강릉",개나리,1973-03-12,1973,71,37.7515,128.891,27.12
"South Korea/강릉",개나리,1974-04-02,1974,92,37.7515,128.891,27.12
"South Korea/강릉",개나리,1975-04-01,1975,91,37.7515,128.891,27.12
"South Korea/강릉",개나리,1976-03-25,1976,85,37.7515,128.891,27.12
"South Korea/강릉",개나리,1977-03-17,1977,76,37.7515,128.891,27.12
"South Korea/강릉",개나리,1978-03-28,1978,87,37.7515,128.891,27.12
"South Korea/강릉",개나리,1979-03-18,1979,77,37.7515,128.891,27.12
"South Korea/강릉",개나리,1980-03-24,1980,84,37.7515,128.891,27.12
"South Korea/강릉",개나리,1981-03-26,1981,85,37.7515,128.891,27.12
"South Korea/강릉",개나리,1982-03-23,1982,82,37.7515,128.891,27.12
"South Korea/강릉",개나리,1983-03-31,1983,90,37.7515,128.891,27.12
"South Korea/강릉",개나리,1984-04-03,1984,94,37.7515,128.891,27.12
"South Korea/강릉",개나리,1985-03-26,1985,85,37.7515,128.891,27.12
"South Korea/강릉",개나리,1986-03-31,1986,90,37.7515,128.891,27.12
"South Korea/강릉",개나리,1987-03-30,1987,89,37.7515,128.891,27.12
"South Korea/강릉",개나리,1988-03-31,1988,91,37.7515,128.891,27.12
"South Korea/강릉",개나리,1989-03-21,1989,80,37.7515,128.891,27.12
"South Korea/강릉",개나리,1990-03-26,1990,85,37.7515,128.891,27.12
"South Korea/강릉",개나리,1991-03-31,1991,90,37.7515,128.891,27.12
"South Korea/강릉",개나리,1992-03-24,1992,84,37.7515,128.891,27.12
"South Korea/강릉",개나리,1993-03-23,1993,82,37.7515,128.891,27.12
"South Korea/강릉",개나리,1994-04-01,1994,91,37.7515,128.891,27.12
"South Korea/강릉",개나리,1995-03-26,1995,85,37.7515,128.891,27.12
"South Korea/강릉",개나리,1996-04-07,1996,98,37.7515,128.891,27.12
"South Korea/강릉",개나리,1997-03-25,1997,84,37.7515,128.891,27.12
"South Korea/강릉",개나리,1998-03-16,1998,75,37.7515,128.891,27.12
"South Korea/강릉",개나리,1999-03-25,1999,84,37.7515,128.891,27.12
"South Korea/강릉",개나리,2000-03-28,2000,88,37.7515,128.891,27.12
"South Korea/강릉",개나리,2001-03-21,2001,80,37.7515,128.891,27.12
"South Korea/강릉",개나리,2002-03-14,2002,73,37.7515,128.891,27.12
"South Korea/강릉",개나리,2003-03-29,2003,88,37.7515,128.891,27.12
"South Korea/강릉",개나리,2004-03-17,2004,77,37.7515,128.891,27.12
"South Korea/강릉",개나리,2005-03-27,2005,86,37.7515,128.891,27.12
"South Korea/강릉",개나리,2006-03-12,2006,71,37.7515,128.891,27.12
"South Korea/강릉",개나리,2007-03-22,2007,81,37.7515,128.891,27.12
"South Korea/강릉",개나리,2008-03-22,2008,82,37.7515,128.891,27.12
"South Korea/대관령",개나리,1988-04-29,1988,120,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1989-04-21,1989,111,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1990-04-29,1990,119,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1991-04-25,1991,115,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1992-04-27,1992,118,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1993-04-28,1993,118,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1994-04-23,1994,113,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1995-04-29,1995,119,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1996-05-02,1996,123,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1997-04-27,1997,117,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1998-04-16,1998,106,37.6771,128.7183,772.43
"South Korea/대관령",개나리,1999-04-25,1999,115,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2000-05-01,2000,122,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2001-04-21,2001,111,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2002-04-14,2002,104,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2003-04-27,2003,117,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2004-04-16,2004,107,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2005-04-25,2005,115,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2006-04-30,2006,120,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2007-04-26,2007,116,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2008-04-22,2008,113,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2009-04-16,2009,106,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2010-05-06,2010,126,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2011-05-05,2011,125,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2012-04-30,2012,121,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2013-05-13,2013,133,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2014-05-01,2014,121,37.6771,128.7183,772.43
"South Korea/대관령",개나리,2015-04-28,2015,118,37.6771,128.7183,772.43
"South Korea/동해",개나리,1993-03-26,1993,85,37.5071,129.1243,40.46
"South Korea/동해",개나리,1994-04-02,1994,92,37.5071,129.1243,40.46
"South Korea/동해",개나리,1995-03-29,1995,88,37.5071,129.1243,40.46
"South Korea/동해",개나리,1996-04-05,1996,96,37.5071,129.1243,40.46
"South Korea/동해",개나리,1997-03-26,1997,85,37.5071,129.1243,40.46
"South Korea/동해",개나리,1998-03-19,1998,78,37.5071,129.1243,40.46
"South Korea/동해",개나리,1999-03-28,1999,87,37.5071,129.1243,40.46
"South Korea/동해",개나리,2000-03-28,2000,88,37.5071,129.1243,40.46
"South Korea/동해",개나리,2001-03-22,2001,81,37.5071,129.1243,40.46
"South Korea/동해",개나리,2002-03-12,2002,71,37.5071,129.1243,40.46
"South Korea/동해",개나리,2003-03-29,2003,88,37.5071,129.1243,40.46
"South Korea/동해",개나리,2004-03-20,2004,80,37.5071,129.1243,40.46
"South Korea/동해",개나리,2005-04-02,2005,92,37.5071,129.1243,40.46
"South Korea/동해",개나리,2006-03-20,2006,79,37.5071,129.1243,40.46
"South Korea/동해",개나리,2007-03-23,2007,82,37.5071,129.1243,40.46
"South Korea/동해",개나리,2008-03-21,2008,81,37.5071,129.1243,40.46
"South Korea/동해",개나리,2009-03-19,2009,78,37.5071,129.1243,40.46
"South Korea/동해",개나리,2010-04-03,2010,93,37.5071,129.1243,40.46
"South Korea/동해",개나리,2011-04-01,2011,91,37.5071,129.1243,40.46
"South Korea/동해",개나리,2012-04-05,2012,96,37.5071,129.1243,40.46
"South Korea/동해",개나리,2013-03-18,2013,77,37.5071,129.1243,40.46
"South Korea/동해",개나리,2014-03-26,2014,85,37.5071,129.1243,40.46
"South Korea/동해",개나리,2015-03-27,2015,86,37.5071,129.1243,40.46
"South Korea/북강릉",개나리,2009-03-19,2009,78,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2010-04-10,2010,100,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2011-04-06,2011,96,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2012-04-04,2012,95,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2013-03-23,2013,82,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2014-03-28,2014,87,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2015-03-25,2015,84,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2016-03-29,2016,89,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2017-03-29,2017,88,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2018-03-22,2018,81,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2019-03-17,2019,76,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2020-03-18,2020,78,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2021-03-19,2021,78,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2022-03-30,2022,89,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2023-03-17,2023,76,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2024-03-22,2024,82,37.8046,128.8554,75.24
"South Korea/북강릉",개나리,2025-03-21,2025,80,37.8046,128.8554,75.24
"South Korea/북춘천",개나리,2017-04-04,2017,94,37.9474,127.7544,95.78
"South Korea/북춘천",개나리,2018-04-01,2018,91,37.9474,127.7544,95.78
"South Korea/북춘천",개나리,2019-04-03,2019,93,37.9474,127.7544,95.78
"South Korea/북춘천",개나리,2020-03-26,2020,86,37.9474,127.7544,95.78
"South Korea/북춘천",개나리,2021-03-26,2021,85,37.9474,127.7544,95.78
"South Korea/북춘천",개나리,2022-04-03,2022,93,37.9474,127.7544,95.78
"South Korea/북춘천",개나리,2023-03-27,2023,86,37.9474,127.7544,95.78
"South Korea/북춘천",개나리,2024-04-02,2024,93,37.9474,127.7544,95.78
"South Korea/북춘천",개나리,2025-03-24,2025,83,37.9474,127.7544,95.78
"South Korea/삼척",개나리,1973-03-30,1973,89,nan,nan,nan
"South Korea/삼척",개나리,1974-04-04,1974,94,nan,nan,nan
"South Korea/삼척",개나리,1975-04-04,1975,94,nan,nan,nan
"South Korea/삼척",개나리,1976-03-31,1976,91,nan,nan,nan
