"location","species","bloom_date","year","bloom_doy","lat","long","alt"
"South Korea/강릉",매화,1973-03-10,1973,69,37.7515,128.891,27.12
"South Korea/강릉",매화,1974-03-28,1974,87,37.7515,128.891,27.12
"South Korea/강릉",매화,1975-03-28,1975,87,37.7515,128.891,27.12
"South Korea/강릉",매화,1976-03-17,1976,77,37.7515,128.891,27.12
"South Korea/강릉",매화,1977-03-30,1977,89,37.7515,128.891,27.12
"South Korea/강릉",매화,1978-02-23,1978,54,37.7515,128.891,27.12
"South Korea/강릉",매화,1979-02-15,1979,46,37.7515,128.891,27.12
"South Korea/강릉",매화,1980-03-11,1980,71,37.7515,128.891,27.12
"South Korea/강릉",매화,1981-03-14,1981,73,37.7515,128.891,27.12
"South Korea/강릉",매화,1982-03-12,1982,71,37.7515,128.891,27.12
"South Korea/강릉",매화,1983-03-20,1983,79,37.7515,128.891,27.12
"South Korea/강릉",매화,1984-03-23,1984,83,37.7515,128.891,27.12
"South Korea/강릉",매화,1985-03-06,1985,65,37.7515,128.891,27.12
"South Korea/강릉",매화,1986-02-23,1986,54,37.7515,128.891,27.12
"South Korea/강릉",매화,1987-03-06,1987,65,37.7515,128.891,27.12
"South Korea/강릉",매화,1988-03-08,1988,68,37.7515,128.891,27.12
"South Korea/강릉",매화,1989-03-15,1989,74,37.7515,128.891,27.12
"South Korea/강릉",매화,1990-03-14,1990,73,37.7515,128.891,27.12
"South Korea/강릉",매화,1991-03-20,1991,79,37.7515,128.891,27.12
"South Korea/강릉",매화,1992-03-12,1992,72,37.7515,128.891,27.12
"South Korea/강릉",매화,1993-03-21,1993,80,37.7515,128.891,27.12
"South Korea/강릉",매화,1994-03-26,1994,85,37.7515,128.891,27.12
"South Korea/강릉",매화,1995-03-20,1995,79,37.7515,128.891,27.12
"South Korea/강릉",매화,1996-04-04,1996,95,37.7515,128.891,27.12
"South Korea/강릉",매화,1997-03-18,1997,77,37.7515,128.891,27.12
"South Korea/강릉",매화,1998-03-07,1998,66,37.7515,128.891,27.12
"South Korea/강릉",매화,1999-03-07,1999,66,37.7515,128.891,27.12
"South Korea/강릉",매화,2000-03-17,2000,77,37.7515,128.891,27.12
"South Korea/강릉",매화,2001-03-20,2001,79,37.7515,128.891,27.12
"South Korea/강릉",매화,2002-03-09,2002,68,37.7515,128.891,27.12
"South Korea/강릉",매화,2003-03-27,2003,86,37.7515,128.891,27.12
"South Korea/강릉",매화,2004-03-12,2004,72,37.7515,128.891,27.12
"South Korea/강릉",매화,2005-03-22,2005,81,37.7515,128.891,27.12
"South Korea/강릉",매화,2006-03-20,2006,79,37.7515,128.891,27.12
"South Korea/강릉",매화,2007-03-08,2007,67,37.7515,128.891,27.12
"South Korea/강릉",매화,2008-03-18,2008,78,37.7515,128.891,27.12
"South Korea/대관령",매화,2013-05-08,2013,128,37.6771,128.7183,772.43
"South Korea/대관령",매화,2014-04-23,2014,113,37.6771,128.7183,772.43
"South Korea/대관령",매화,2015-04-20,2015,110,37.6771,128.7183,772.43
"South Korea/동해",매화,1993-04-14,1993,104,37.5071,129.1243,40.46
"South Korea/동해",매화,1994-03-25,1994,84,37.5071,129.1243,40.46
"South Korea/동해",매화,1995-03-26,1995,85,37.5071,129.1243,40.46
"South Korea/동해",매화,1996-04-04,1996,95,37.5071,129.1243,40.46
"South Korea/동해",매화,1997-03-26,1997,85,37.5071,129.1243,40.46
"South Korea/동해",매화,1998-03-17,1998,76,37.5071,129.1243,40.46
"South Korea/동해",매화,1999-03-07,1999,66,37.5071,129.1243,40.46
"South Korea/동해",매화,2000-03-13,2000,73,37.5071,129.1243,40.46
"South Korea/동해",매화,2001-03-14,2001,73,37.5071,129.1243,40.46
"South Korea/동해",매화,2002-02-25,2002,56,37.5071,129.1243,40.46
"South Korea/동해",매화,2003-03-20,2003,79,37.5071,129.1243,40.46
"South Korea/동해",매화,2004-03-15,2004,75,37.5071,129.1243,40.46
"South Korea/동해",매화,2005-03-25,2005,84,37.5071,129.1243,40.46
"South Korea/동해",매화,2006-03-19,2006,78,37.5071,129.1243,40.46
