"location","species","bloom_date","year","bloom_doy","lat","long","alt"
"South Korea/강릉",벚나무,1973-04-05,1973,95,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1974-04-13,1974,103,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1975-04-10,1975,100,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1976-04-13,1976,104,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1977-04-08,1977,98,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1978-04-08,1978,98,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1979-04-04,1979,94,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1980-04-09,1980,100,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1981-04-08,1981,98,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1982-04-06,1982,96,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1983-04-08,1983,98,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1984-04-23,1984,114,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1985-04-10,1985,100,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1986-04-11,1986,101,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1987-04-10,1987,100,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1988-04-15,1988,106,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1989-04-03,1989,93,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1990-04-01,1990,91,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1991-04-12,1991,102,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1992-04-03,1992,94,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1993-04-06,1993,96,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1994-04-06,1994,96,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1995-04-07,1995,97,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1996-04-13,1996,104,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1997-04-05,1997,95,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1998-03-28,1998,87,37.7515,128.891,27.12
"South Korea/강릉",벚나무,1999-04-03,1999,93,37.7515,128.891,27.12
