"location","species","bloom_date","year","bloom_doy","lat","long","alt"
"South Korea/강릉",아까시나무,1973-05-06,1973,126,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1974-05-16,1974,136,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1975-05-20,1975,140,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1976-05-14,1976,135,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1977-05-06,1977,126,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1978-05-08,1978,128,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1979-05-17,1979,137,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1980-05-08,1980,129,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1981-05-10,1981,130,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1982-05-09,1982,129,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1983-05-12,1983,132,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1984-05-21,1984,142,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1985-05-03,1985,123,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1986-05-11,1986,131,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1987-05-03,1987,123,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1988-05-15,1988,136,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1989-05-06,1989,126,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1990-05-09,1990,129,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1991-05-16,1991,136,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1992-05-08,1992,129,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1993-05-21,1993,141,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1994-05-12,1994,132,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1995-05-11,1995,131,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1996-05-16,1996,137,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1997-05-05,1997,125,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1998-04-30,1998,120,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,1999-05-10,1999,130,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2000-05-16,2000,137,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2001-05-14,2001,134,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2002-05-04,2002,124,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2003-05-12,2003,132,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2004-05-02,2004,123,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2005-05-08,2005,128,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2006-05-17,2006,137,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2007-05-07,2007,127,37.7515,128.891,27.12
"South Korea/강릉",아까시나무,2008-05-12,2008,133,37.7515,128.891,27.12
"South Korea/대관령",아까시나무,1974-06-21,1974,172,37.6771,128.7183,772.43
"South Korea/대관령",아까시나무,1978-05-07,1978,127,37.6771,128.7183,772.43
"South Korea/대관령",아까시나무,1979-05-15,1979,135,37.6771,128.7183,772.43
"South Korea/대관령",아까시나무,1980-06-08,1980,160,37.6771,128.7183,772.43
"South Korea/대관령",아까시나무,1981-06-04,1981,155,37.6771,128.7183,772.43
"South Korea/대관령",아까시나무,1984-06-13,1984,165,37.6771,128.7183,772.43
"South Korea/대관령",아까시나무,1985-06-16,1985,167,37.6771,128.7183,772.43
