"location","species","bloom_date","year","bloom_doy","lat","long","alt"
"South Korea/강릉",진달래,1973-03-22,1973,81,37.7515,128.891,27.12
"South Korea/강릉",진달래,1974-04-02,1974,92,37.7515,128.891,27.12
"South Korea/강릉",진달래,1975-03-28,1975,87,37.7515,128.891,27.12
"South Korea/강릉",진달래,1976-03-12,1976,72,37.7515,128.891,27.12
"South Korea/강릉",진달래,1977-03-26,1977,85,37.7515,128.891,27.12
"South Korea/강릉",진달래,1978-03-29,1978,88,37.7515,128.891,27.12
"South Korea/강릉",진달래,1979-03-21,1979,80,37.7515,128.891,27.12
"South Korea/강릉",진달래,1980-03-28,1980,88,37.7515,128.891,27.12
"South Korea/강릉",진달래,1981-04-06,1981,96,37.7515,128.891,27.12
"South Korea/강릉",진달래,1982-03-24,1982,83,37.7515,128.891,27.12
"South Korea/강릉",진달래,1983-03-31,1983,90,37.7515,128.891,27.12
"South Korea/강릉",진달래,1984-03-31,1984,91,37.7515,128.891,27.12
"South Korea/강릉",진달래,1985-03-28,1985,87,37.7515,128.891,27.12
"South Korea/강릉",진달래,1986-04-02,1986,92,37.7515,128.891,27.12
"South Korea/강릉",진달래,1987-03-29,1987,88,37.7515,128.891,27.12
"South Korea/강릉",진달래,1988-03-29,1988,89,37.7515,128.891,27.12
"South Korea/강릉",진달래,1989-03-19,1989,78,37.7515,128.891,27.12
"South Korea/강릉",진달래,1990-03-23,1990,82,37.7515,128.891,27.12
"South Korea/강릉",진달래,1991-04-03,1991,93,37.7515,128.891,27.12
"South Korea/강릉",진달래,1992-03-13,1992,73,37.7515,128.891,27.12
"South Korea/강릉",진달래,1993-03-27,1993,86,37.7515,128.891,27.12
"South Korea/강릉",진달래,1994-04-01,1994,91,37.7515,128.891,27.12
"South Korea/강릉",진달래,1995-04-01,1995,91,37.7515,128.891,27.12
"South Korea/강릉",진달래,1996-04-08,1996,99,37.7515,128.891,27.12
"South Korea/강릉",진달래,1997-03-30,1997,89,37.7515,128.891,27.12
"South Korea/강릉",진달래,1998-03-25,1998,84,37.7515,128.891,27.12
"South Korea/강릉",진달래,1999-03-29,1999,88,37.7515,128.891,27.12
"South Korea/강릉",진달래,2000-03-29,2000,89,37.7515,128.891,27.12
"South Korea/강릉",진달래,2001-04-01,2001,91,37.7515,128.891,27.12
"South Korea/강릉",진달래,2002-03-18,2002,77,37.7515,128.891,27.12
"South Korea/강릉",진달래,2003-03-30,2003,89,37.7515,128.891,27.12
"South Korea/강릉",진달래,2004-03-20,2004,80,37.7515,128.891,27.12
