"location","species","bloom_date","year","bloom_doy","lat","long","alt"
"South Korea/강릉",코스모스,1973-07-07,1973,188,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1974-07-30,1974,211,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1975-08-15,1975,227,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1976-08-29,1976,242,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1977-09-18,1977,261,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1978-08-08,1978,220,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1979-09-10,1979,253,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1980-09-16,1980,260,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1981-09-04,1981,247,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1982-09-01,1982,244,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1983-09-13,1983,256,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1984-09-05,1984,249,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1985-09-11,1985,254,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1986-07-23,1986,204,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1987-09-01,1987,244,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1988-08-30,1988,243,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1989-07-24,1989,205,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1990-09-13,1990,256,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1991-09-21,1991,264,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1992-09-03,1992,247,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1993-09-12,1993,255,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1994-08-25,1994,237,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1995-08-28,1995,240,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1996-08-26,1996,239,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1997-08-16,1997,228,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1998-08-26,1998,238,37.7515,128.891,27.12
"South Korea/강릉",코스모스,1999-07-21,1999,202,37.7515,128.891,27.12
"South Korea/강릉",코스모스,2000-07-25,2000,207,37.7515,128.891,27.12
"South Korea/강릉",코스모스,2001-08-15,2001,227,37.7515,128.891,27.12
"South Korea/강릉",코스모스,2002-08-25,2002,237,37.7515,128.891,27.12
"South Korea/강릉",코스모스,2003-09-01,2003,244,37.7515,128.891,27.12
"South Korea/강릉",코스모스,2004-09-10,2004,254,37.7515,128.891,27.12
"South Korea/강릉",코스모스,2005-09-02,2005,245,37.7515,128.891,27.12
"South Korea/강릉",코스모스,2006-09-03,2006,246,37.7515,128.891,27.12
"South Korea/강릉",코스모스,2007-09-08,2007,251,37.7515,128.891,27.12
"South Korea/대관령",코스모스,1974-07-24,1974,205,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1975-07-19,1975,200,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1976-07-12,1976,194,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1977-07-21,1977,202,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1978-08-20,1978,232,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1979-08-20,1979,232,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1980-08-03,1980,216,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1984-07-10,1984,192,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1985-07-24,1985,205,37.6771,128.7183,772.43
"South Korea/대관령",코스모스,1989-08-06,1989,218,37.6771,128.7183,772.43
"South Korea/동해",코스모스,1993-09-03,1993,246,37.5071,129.1243,40.46
"South Korea/동해",코스모스,1994-08-30,1994,242,37.5071,129.1243,40.46
"South Korea/동해",코스모스,1995-08-16,1995,228,37.5071,129.1243,40.46
"South Korea/동해",코스모스,1996-09-16,1996,260,37.5071,129.1243,40.46
"South Korea/동해",코스모스,1997-09-06,1997,249,37.5071,129.1243,40.46
"South Korea/동해",코스모스,1998-08-27,1998,239,37.5071,129.1243,40.46
"South Korea/동해",코스모스,1999-07-25,1999,206,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2000-08-10,2000,223,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2001-09-05,2001,248,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2002-09-10,2002,253,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2003-09-01,2003,244,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2004-09-05,2004,249,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2005-08-29,2005,241,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2006-09-23,2006,266,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2007-09-05,2007,248,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2008-08-10,2008,223,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2009-08-25,2009,237,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2010-09-01,2010,244,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2011-08-29,2011,241,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2012-09-04,2012,248,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2013-08-24,2013,236,37.5071,129.1243,40.46
"South Korea/동해",코스모스,2014-09-03,2014,246,37.5071,129.1243,40.46
"South Korea/북강릉",코스모스,2008-08-25,2008,238,37.8046,128.8554,75.24
"South Korea/북강릉",코스모스,2009-09-10,2009,253,37.8046,128.8554,75.24
"South Korea/북강릉",코스모스,2010-09-04,2010,247,37.8046,128.8554,75.24
"South Korea/북강릉",코스모스,2011-08-30,2011,242,37.8046,128.8554,75.24
"South Korea/북강릉",코스모스,2012-09-03,2012,247,37.8046,128.8554,75.24
